date,open,high,low,close,volume,dividends,stock splits
2021-11-15,472.0,475.7900085449219,456.0,465.75,81773,0.0,0.0
2021-11-16,474.0,474.0,460.04998779296875,464.80999755859375,73388,0.0,0.0
2021-11-17,404.3999938964844,469.0,404.3999938964844,464.2699890136719,55190,0.0,0.0
2021-11-18,403.8999938964844,524.5999755859375,403.8999938964844,457.6700134277344,97412,0.0,0.0
2021-11-22,517.2000122070312,517.2000122070312,430.20001220703125,449.1400146484375,248142,0.0,0.0
2021-11-23,390.79998779296875,476.1000061035156,390.79998779296875,455.6700134277344,81497,0.0,0.0
2021-11-24,396.3999938964844,497.5,396.3999938964844,453.42999267578125,56512,0.0,0.0
2021-11-25,480.6000061035156,480.6000061035156,426.20001220703125,457.1099853515625,49611,0.0,0.0
2021-11-26,495.0,495.0,429.70001220703125,446.010009765625,207509,0.0,0.0
2021-11-29,419.20001220703125,504.0,419.20001220703125,439.5400085449219,165183,0.0,0.0
2021-11-30,447.0,447.0,430.0,439.739990234375,159956,0.0,0.0
2021-12-01,413.3999938964844,496.8999938964844,413.3999938964844,440.95001220703125,87010,0.0,0.0
2021-12-02,498.29998779296875,498.29998779296875,435.0,444.57000732421875,84992,0.0,0.0
2021-12-03,454.0,454.0,436.0,444.6000061035156,59119,0.0,0.0
2021-12-06,471.29998779296875,471.29998779296875,435.5,436.510009765625,174544,0.0,0.0
2021-12-07,493.29998779296875,493.29998779296875,434.0,442.30999755859375,88843,0.0,0.0
2021-12-08,402.5,485.0,402.5,447.8500061035156,80259,0.0,0.0
2021-12-09,459.0,459.0,443.1199951171875,448.0799865722656,98706,0.0,0.0
2021-12-10,485.0,485.0,421.20001220703125,450.8399963378906,77729,0.0,0.0
2021-12-13,463.0,463.0,443.0,448.9200134277344,77387,0.0,0.0
2021-12-14,456.0,456.0,441.0,450.010009765625,66859,0.0,0.0
2021-12-15,459.0,459.0,443.0,446.30999755859375,60437,0.0,0.0
2021-12-16,485.0,485.0,419.5,445.55999755859375,41655,0.0,0.0
2021-12-17,454.0,454.0,434.1000061035156,434.8299865722656,154731,0.0,0.0
2021-12-20,441.0,441.0,417.25,422.6600036621094,486722,0.0,0.0
2021-12-21,474.0,474.0,397.29998779296875,428.8800048828125,182461,0.0,0.0
2021-12-22,425.0,493.20001220703125,403.1000061035156,435.4100036621094,129219,0.0,0.0
2021-12-23,447.0,447.0,427.0,438.75,199929,0.0,0.0
2021-12-24,381.70001220703125,498.6499938964844,381.70001220703125,436.3299865722656,107626,0.0,0.0
2021-12-27,397.1000061035156,501.79998779296875,397.1000061035156,437.54998779296875,74468,0.0,0.0
2021-12-28,485.0,485.0,401.25,441.05999755859375,82211,0.0,0.0
2021-12-29,447.0,447.0,434.0,440.1300048828125,267554,0.0,0.0
2021-12-30,382.8999938964844,484.0,382.8999938964844,437.1600036621094,167689,0.0,0.0
2021-12-31,481.0,484.0,432.0,443.82000732421875,337854,0.0,0.0
2022-01-03,386.1000061035156,464.67999267578125,386.1000061035156,446.80999755859375,467591,0.0,0.0
2022-01-04,468.1300048828125,468.1300048828125,420.0,448.5299987792969,201553,0.0,0.0
2022-01-05,475.3999938964844,475.3999938964844,434.0,447.1600036621094,157286,0.0,0.0
2022-01-06,485.0,485.0,421.55999755859375,446.9100036621094,74103,0.0,0.0
2022-01-07,505.0,505.0,426.0,450.07000732421875,59548,0.0,0.0
2022-01-10,495.0,495.0,430.55999755859375,450.82000732421875,106952,0.0,0.0
2022-01-11,491.3999938964844,491.3999938964844,423.79998779296875,451.75,81163,0.0,0.0
2022-01-12,456.8399963378906,478.8999938964844,441.1199951171875,453.2900085449219,61867,0.0,0.0
2022-01-13,463.0,463.0,447.0,456.3399963378906,55666,0.0,0.0
2022-01-14,515.7000122070312,515.7000122070312,442.1600036621094,457.2799987792969,50608,0.0,0.0
2022-01-17,397.79998779296875,516.7000122070312,397.79998779296875,459.07000732421875,108143,0.0,0.0
2022-01-18,480.0,480.0,450.1000061035156,451.5,199935,0.0,0.0
2022-01-19,452.0,453.5,445.010009765625,451.29998779296875,76217,0.0,0.0
2022-01-20,457.0,457.0,441.0,450.95001220703125,68856,0.0,0.0
2022-01-21,478.0,478.0,423.8999938964844,443.5400085449219,161934,0.0,0.0
2022-01-24,470.20001220703125,470.20001220703125,385.8999938964844,427.95001220703125,504478,0.0,0.0
2022-01-25,498.6499938964844,498.6499938964844,389.3999938964844,431.4800109863281,245133,0.0,0.0
2022-01-27,435.0,435.0,412.0199890136719,423.3900146484375,358434,0.0,0.0
2022-01-28,436.0,442.79998779296875,417.0,428.739990234375,215506,0.0,0.0
2022-01-31,488.70001220703125,488.70001220703125,425.0,432.30999755859375,70278,0.0,0.0
